Ticker,Last,Relative Strength Index (14),Exponential Moving Average (100),Exponential Moving Average (200),Exchange,Traded Volume
18CBTC,2.7e-7,47.77322904,2.9e-7,3.1e-7,HUOBI,
1STBTC,0.00000851,47.50744578,0.00000971,0.00000982,HITBTC,0.04511973
4ARTBTC,0.00000378,21.63926319,,,BITTREX,5.68492233
AACBTC,0.00000225,38.97424796,0.00000459,0.00000457,HUOBI,3287.44763579
ABBCBTC,0.00001015,40.6568181,0.00001237,,BITTREX,3284.63688364
ABSBTC,0.00000147,65.40019255,0.00000101,0.000001,BITFINEX,
ABTBTC,0.00000931,44.73018162,0.00001075,0.00001237,HUOBI,314.92334282
ABYSSBTC,0.00000148,66.74510632,0.00000103,0.00000107,BITTREX,9.30055574
ABYSSBTC,0.00000148,64.82165536,0.00000101,0.000001,HITBTC,9.30055574
ACATBTC,2e-8,57.38993835,2e-8,2e-8,HITBTC,0.82334659
ACATBTC,2e-8,57.69620075,2e-8,2e-8,KUCOIN,0.82334659
ACTBTC,8.1e-7,54.22150786,7.5e-7,7.9e-7,HUOBI,308.90959687
ACTBTC,8.1e-7,55.83758762,7.5e-7,7.8e-7,KUCOIN,308.90959687
ACTBTC,7.9e-7,49.37702491,7.6e-7,8.3e-7,HITBTC,308.90959687
ADABTC,0.00001081,36.87069693,0.00001045,0.00000885,BITTREX,29436.77711869
ADABTC,0.00001076,36.42659129,0.00001045,0.00000875,KUCOIN,29436.77711869
ADABTC,0.00001076,34.23963912,0.00001041,0.00000884,HUOBI,29436.77711869
ADABTC,0.0000108,30.74488289,,,BITFINEX,29436.77711869
ADABTC,0.00001077,36.49030779,0.00001044,0.00000885,HITBTC,29436.77711869
ADABTC,0.00001077,36.86584638,0.00001045,0.00000885,BINANCE,29436.77711869
ADBBTC,2e-7,48.48238059,1.5e-7,1.2e-7,KUCOIN,1.66299152
ADKBTC,0.00008022,58.78324008,0.00008475,0.00010867,HITBTC,139.84900409
ADTBTC,4e-8,43.46001085,5e-8,1.1e-7,BITTREX,0.01858662
ADXBTC,0.00001644,49.9564904,0.00001343,0.00001212,HITBTC,103.92953712
ADXBTC,0.00001644,47.96291344,0.0000137,0.00001224,BINANCE,103.92953712
ADXBTC,0.00001384,58.10094491,0.00000933,0.00000884,HUOBI,103.92953712
ADXBTC,0.00001631,47.44573556,0.00001365,0.0000122,BITTREX,103.92953712
AEBTC,0.00001756,65.60732557,0.00001541,0.00001738,HUOBI,1510.93471237
AEBTC,0.00001731,68.1742873,0.000015,0.00001708,HITBTC,1510.93471237
AEBTC,0.00001789,64.04798202,0.00001538,0.00001732,BINANCE,1510.93471237
AEONBTC,0.00004807,61.35729913,0.00004424,0.00004201,BITTREX,0.51259317
AEONBTC,0.00004425,52.62775855,0.00004298,0.00004061,HITBTC,0.51259317
AERGOBTC,0.00000427,47.99713333,,,HITBTC,161.61502966
AERGOBTC,0.00000481,50.76320366,0.00000385,0.00000417,KUCOIN,161.61502966
AGIBTC,0.00000588,81.11314398,0.00000258,0.00000245,KUCOIN,700.98807669
AGIBTC,0.00000679,74.16061145,0.0000026,0.00000247,BITFINEX,700.98807669
AGIBTC,0.00000584,80.03631233,0.00000258,0.00000244,BINANCE,700.98807669
AGIBTC,0.00000669,82.55946463,0.00000253,0.00000245,HITBTC,700.98807669
AIDBTC,0.00000111,66.53583831,8.9e-7,0.00000108,BITFINEX,0.08175385
AIDBTC,8.3e-7,48.43349211,9.1e-7,0.0000012,BITTREX,0.08175385
AIDOCBTC,1.5e-7,41.80153982,1.9e-7,2.4e-7,HUOBI,2.53461172
AIMBTC,0.00000314,40.63392652,,,HITBTC,4.17746588
AIONBTC,0.00001273,65.70013319,0.00001076,0.00001104,KUCOIN,1019.2305839
AIONBTC,0.00001277,65.26748881,0.00001077,0.00001104,BINANCE,1019.2305839
AKROBTC,0.00000233,57.94852171,0.0000012,9.5e-7,HUOBI,664.09027789
AKROBTC,0.00000231,56.54907764,0.00000116,7.9e-7,BITTREX,664.09027789
AKROBTC,0.00000234,56.97790658,0.00000116,7.6e-7,KUCOIN,664.09027789
ALGBTC,0.00004892,58.25022243,0.00003316,0.00003347,BITFINEX,8.83844535
ALGOBTC,0.00004868,58.31823492,0.00003311,0.00003245,BINANCE,16337.31401691
ALGOBTC,0.00004904,58.27004316,0.00003273,,HITBTC,16337.31401691
ALGOBTC,0.00004887,59.01612523,0.00003254,,BITTREX,16337.31401691
ALGOBTC,0.00004868,58.53681948,0.00003333,0.00003271,HUOBI,16337.31401691
ALGOBTC,0.00004865,58.38217035,0.00003313,0.00003259,KUCOIN,16337.31401691
AMBBTC,0.0000027,51.18636274,0.00000199,0.00000201,BINANCE,158.03019137
AMBBTC,0.0000027,51.41273659,0.00000199,0.00000204,HITBTC,158.03019137
AMBBTC,0.00000275,60.04083797,0.00000169,0.00000182,KUCOIN,158.03019137
AMMBTC,6.3e-7,58.19781429,4.3e-7,5.5e-7,HITBTC,1.61044908
AMPBTC,0.00006446,42.66752103,0.00013691,0.00013227,BITFINEX,
AMPLBTC,0.00006501,42.87735818,0.00013653,0.00013828,KUCOIN,2024.46113662
ANKRBTC,0.00000105,56.2856231,6e-7,4.5e-7,BINANCE,962.4423781
ANKRBTC,0.00000105,56.07709806,6e-7,4.8e-7,BITTREX,962.4423781
ANKRBTC,0.00000106,56.15312693,6e-7,4.8e-7,KUCOIN,962.4423781
ANTBTC,0.0004565,,,,BINANCE,2169.87611957
ANTBTC,0.00045657,64.86867967,0.00022808,0.00017532,HITBTC,2169.87611957
ANTBTC,0.00045464,66.0429483,0.00022797,0.0001778,BITFINEX,2169.87611957
ANTBTC,0.00045657,65.07246278,0.00022787,0.00017518,BITTREX,2169.87611957
ANTBTC,0.00045565,,,,HUOBI,2169.87611957
AOABTC,9e-7,40.72304543,8e-7,6.8e-7,KUCOIN,654.52075506
APIXBTC,0.00001131,36.47132926,0.00001951,0.0000132,BITTREX,70.97652745
APMBTC,0.00000354,41.91677805,0.00000846,0.00001791,BITTREX,191.64327364
APMBTC,0.00000351,31.27294881,,,HITBTC,191.64327364
APPCBTC,0.0000046,57.27595143,0.00000423,0.0000043,HITBTC,15.7274172
APPCBTC,0.00000463,56.04581194,0.00000425,0.00000429,BINANCE,15.7274172
APPCBTC,0.00000462,57.34685753,0.00000427,0.0000043,HUOBI,15.7274172
ARBTC,0.00029294,67.77981085,,,BITTREX,222.67790568
ARDRBTC,0.00000625,57.69317096,0.00000549,0.00000557,HITBTC,487.44812312
ARDRBTC,0.00000627,57.04676132,0.00000555,0.00000561,BINANCE,487.44812312
ARDRBTC,0.00000617,55.90082994,0.00000553,0.0000056,POLONIEX,487.44812312
ARDRBTC,0.00000625,56.87794728,0.00000554,0.00000561,BITTREX,487.44812312
ARDRBTC,0.00000631,59.92523664,0.00000555,0.0000056,HUOBI,487.44812312
ARKBTC,0.0000428,51.61727264,0.0000352,0.00003182,BITTREX,271.90999851
ARKBTC,0.00004281,51.54017448,0.00003522,0.00003185,BINANCE,271.90999851
ARNBTC,0.00000131,22.31242357,0.00000876,0.00001293,HITBTC,1.98026974
ARPABTC,0.00000325,53.88285062,0.00000218,0.00000184,BINANCE,1051.60625862
ARPABTC,0.00000325,55.09307582,0.00000219,0.00000183,HUOBI,1051.60625862
ARPABTC,0.00000316,52.3343696,0.00000216,,HITBTC,1051.60625862
ARTBTC,5e-7,42.06078835,9.7e-7,0.00000195,HITBTC,0.06778926
ARTBTC,5.3e-7,40.77021761,9.9e-7,0.00000215,BITTREX,0.06778926
ASIBTC,0.00000618,17.09791257,,,HITBTC,
ASTBTC,0.00001674,60.44692978,0.0000078,0.00000583,HUOBI,1775.66440881
ASTBTC,0.00001723,56.9330674,0.00000761,0.00000565,BITFINEX,1775.66440881
ASTBTC,0.00001666,57.79383508,0.0000076,0.00000571,BINANCE,1775.66440881
ATMBTC,7e-8,62.22355325,3e-8,3e-8,BITFINEX,
ATOBTC,0.00053335,65.28545526,0.00038616,0.00038453,BITFINEX,22701.10367515
ATOMBTC,0.00053834,65.46818133,0.00038813,0.00038421,HUOBI,22701.10367515
ATOMBTC,0.00053595,64.00004307,0.00038521,0.00038266,BITTREX,22701.10367515
ATOMBTC,0.00053455,64.03180784,0.00038531,0.00037583,HITBTC,22701.10367515
ATOMBTC,0.00053733,64.50243021,0.00038504,0.00038254,POLONIEX,22701.10367515
ATOMBTC,0.0005366,63.46523316,0.0003853,0.00038219,BINANCE,22701.10367515
ATOMBTC,0.00053695,63.58830155,0.00038535,0.0003797,KUCOIN,22701.10367515
ATOMBTC,0.000537,63.66486784,0.00038735,0.00038259,COINBASE,22701.10367515
ATPBTC,2.3e-7,52.44347364,2.4e-7,3.5e-7,HUOBI,37.97312295
AUCBTC,0.00002343,56.4283874,0.00001133,0.00000738,BITFINEX,22.21851461
AUCBTC,0.00002384,54.88047746,0.00001192,0.00000779,HITBTC,22.21851461
AUTOBTC,3e-8,52.47070787,3e-8,5e-8,HITBTC,0.00608087
AVABTC,0.00011717,44.24652507,0.00008313,0.00005045,HITBTC,159.34751802
AVABTC,0.000116,30.94779402,,,BINANCE,159.34751802
AVABTC,0.00011601,43.80856695,0.00006973,,POLONIEX,159.34751802
AVABTC,0.00011648,43.63954347,0.00008345,0.00005733,KUCOIN,159.34751802
AVTBTC,0.00001998,49.42468609,0.00001635,0.00001477,BITFINEX,2.52197946
AXPRBTC,5.3e-7,55.34542746,4.3e-7,4.5e-7,HITBTC,3.91336482
AXPRBTC,4.4e-7,48.33701238,4.3e-7,4.3e-7,KUCOIN,3.91336482
AYABTC,8.5e-7,31.63471756,0.00000114,,HITBTC,5.24530862
BABBTC,0.024469,42.5399298,0.02626168,0.02824998,BITFINEX,118641.5550975
BALBTC,0.00213753,,,,HUOBI,5413.03345701
BALBTC,0.0021323,64.99962179,,,BINANCE,5413.03345701
BANCABTC,1e-8,44.48153388,1e-8,1e-8,HITBTC,3.80122355
BANDBTC,0.00110024,,,,COINBASE,11739.63646255
BANDBTC,0.00109925,,,,HUOBI,11739.63646255
BANDBTC,0.00109933,60.67051496,0.00046864,0.00030081,BINANCE,11739.63646255
BATBTC,0.00003223,67.2101864,0.00002527,0.0000251,BITTREX,29493.06133473
BATBTC,0.00003227,67.35177276,0.00002527,0.0000251,BINANCE,29493.06133473
BATBTC,0.00003231,67.79998157,0.00002527,0.00002509,POLONIEX,29493.06133473
